epoch_ms,alt_cm,roll_deg,pitch_deg,velocity_m/s,lat_dd,lon_dd,year,month,day,hour,min,sec,sog,cog,throttle_command,pitch_command,yaw_command,roll_command
2104,0.00,NAN ,0.000000,24287.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2155,0.00,NAN ,0.000000,13742.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2205,0.00,NAN ,0.000000,26210.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2254,0.00,NAN ,0.000000,21587.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2304,0.00,NAN ,0.000000,15123.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2355,0.00,NAN ,0.000000,11454.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2405,0.00,NAN ,0.000000,25715.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2454,0.00,NAN ,0.000000,17830.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2504,0.00,NAN ,0.000000,27787.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2555,0.00,NAN ,0.000000,16809.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2605,0.00,NAN ,0.000000,20158.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2654,0.00,-1.726543,-1.477336,18779.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2705,0.00,-1.615035,-1.455845,16504.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2755,0.00,-1.789089,-1.498824,16114.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2805,0.00,-1.573601,-1.483221,20579.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2854,0.00,-1.594570,-1.511210,13342.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2904,0.00,-1.809937,-1.526944,15999.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
2954,0.00,-1.565682,-1.505160,15085.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
3005,0.00,-1.649662,-1.533124,17234.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
3054,0.00,-1.684531,-1.533260,16198.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,0,0,0,0
3105,0.00,-1.517074,-1.539720,28028.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3154,0.00,-1.844879,-1.555183,18127.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3204,0.00,-1.656729,-1.554016,15931.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3255,0.00,-1.643024,-1.560699,21937.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3305,0.00,-1.754333,-1.561421,20069.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3355,0.00,-1.649445,-1.561308,18012.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3405,0.00,-1.691400,-1.561353,13967.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3454,0.00,-1.670525,-1.554233,16528.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3505,0.00,-1.684503,-1.561242,15353.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3555,0.00,-1.747436,-1.561306,16879.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3605,0.00,-1.719466,-1.561278,16245.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3655,0.00,-1.712473,-1.561271,17891.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3705,0.00,-1.712473,-1.561271,18939.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3755,0.00,-1.712473,-1.561271,11073.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3804,0.00,-1.740443,-1.561299,13119.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3854,0.00,-1.705481,-1.561264,20782.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3905,0.00,-1.747436,-1.561306,17882.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
3954,0.00,-1.768413,-1.561328,12247.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4005,0.00,-1.740443,-1.561299,22573.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4055,0.00,-1.761421,-1.561321,22323.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4105,0.00,-1.733451,-1.561292,17490.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4154,0.00,-1.740443,-1.561299,18956.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4205,0.00,-1.789499,-1.561445,19356.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4254,0.00,-1.789499,-1.561445,10679.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4304,0.00,-1.782507,-1.561438,16941.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4354,0.00,-1.803485,-1.561460,20252.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4405,0.00,-1.789507,-1.554449,17498.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4455,0.00,-1.768420,-1.554332,21708.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4504,0.00,-1.768420,-1.554332,27964.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4554,0.00,-1.761428,-1.554325,27472.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4605,0.00,-1.768420,-1.554332,15076.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4654,0.00,-1.789398,-1.554354,20131.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4704,0.00,-1.768420,-1.554332,23046.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4755,0.00,-1.754435,-1.554318,11274.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4805,0.00,-1.768420,-1.554332,25018.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4855,0.00,-1.754435,-1.554318,27898.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4904,0.00,-1.761333,-1.554433,24290.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
4956,0.00,-1.782302,-1.561451,13943.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5004,0.00,-1.775310,-1.561444,18378.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5054,0.00,-1.768318,-1.561436,17246.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5106,0.00,-1.768318,-1.561436,19199.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5155,0.00,-1.768318,-1.561436,13920.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5205,0.00,-1.768318,-1.561436,25860.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5254,0.00,-1.775310,-1.561444,16970.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5305,0.00,-1.768318,-1.561436,21898.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5356,0.00,-1.768318,-1.561436,18565.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5406,0.00,-1.775310,-1.561444,24140.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5456,0.00,-1.775310,-1.561444,12460.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5506,0.00,-1.775310,-1.561444,21055.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5555,0.00,-1.775310,-1.561444,10335.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5606,0.00,-1.775310,-1.561444,12661.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5655,0.00,-1.775310,-1.561444,19402.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5706,0.00,-1.775310,-1.561444,26123.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5754,0.00,-1.768318,-1.561436,16041.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5805,0.00,-1.768318,-1.561436,15209.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
5856,0.00,-1.761325,-1.561428,15843.000000,0.0000000,0.0000000,2000,0,0,0,0,3.00,0.00,0.00,1500,1500,1500,1500
